client_id,client_name,industry,client_tier,account_manager_id,contract_start_date
SMS-1000,Client_Technology_0,Technology,Tier 3,AM-01,2024-02-01
SMS-1001,Client_Technology_1,Healthcare,Tier 3,AM-01,2024-06-01
SMS-1002,Client_Technology_2,Retail,Tier 3,AM-05,2024-02-01
SMS-1003,Client_Technology_3,F&B,Tier 3,AM-05,2024-06-01
SMS-1004,Client_F&B_4,Consumer Goods,Tier 3,AM-05,2024-02-01
SMS-1005,Client_Healthcare_5,Retail,Tier 2,AM-05,2024-02-01
SMS-1006,Client_Retail_6,Technology,Tier 3,AM-02,2024-05-01
SMS-1007,Client_Consumer Goods_7,F&B,Tier 1,AM-10,2024-06-01
SMS-1008,Client_Healthcare_8,Consumer Goods,Tier 1,AM-09,2024-05-01
SMS-1009,Client_F&B_9,F&B,Tier 2,AM-01,2024-05-01
SMS-1010,Client_Retail_10,Consumer Goods,Tier 2,AM-09,2024-05-01
SMS-1011,Client_Retail_11,Consumer Goods,Tier 3,AM-09,2024-06-01
SMS-1012,Client_F&B_12,Consumer Goods,Tier 2,AM-10,2024-02-01
SMS-1013,Client_F&B_13,Technology,Tier 3,AM-07,2024-03-01
SMS-1014,Client_F&B_14,Consumer Goods,Tier 3,AM-07,2024-03-01
SMS-1015,Client_Technology_15,Healthcare,Tier 2,AM-03,2024-03-01
SMS-1016,Client_F&B_16,Retail,Tier 3,AM-05,2024-01-01
SMS-1017,Client_Consumer Goods_17,Consumer Goods,Tier 2,AM-04,2024-01-01
SMS-1018,Client_Consumer Goods_18,Technology,Tier 2,AM-09,2024-02-01
SMS-1019,Client_Healthcare_19,F&B,Tier 2,AM-04,2024-02-01
SMS-1020,Client_Consumer Goods_20,Retail,Tier 3,AM-03,2024-02-01
SMS-1021,Client_Retail_21,Healthcare,Tier 3,AM-03,2024-06-01
SMS-1022,Client_Retail_22,Healthcare,Tier 3,AM-05,2024-02-01
SMS-1023,Client_Healthcare_23,F&B,Tier 3,AM-04,2024-01-01
SMS-1024,Client_Healthcare_24,Technology,Tier 3,AM-08,2024-05-01
SMS-1025,Client_Retail_25,Consumer Goods,Tier 2,AM-09,2024-03-01
SMS-1026,Client_Technology_26,Consumer Goods,Tier 2,AM-02,2024-02-01
SMS-1027,Client_Retail_27,Technology,Tier 2,AM-06,2024-02-01
SMS-1028,Client_Technology_28,Retail,Tier 2,AM-04,2024-05-01
SMS-1029,Client_Healthcare_29,Retail,Tier 2,AM-03,2024-01-01
SMS-1030,Client_Consumer Goods_30,Technology,Tier 2,AM-03,2024-02-01
SMS-1031,Client_Consumer Goods_31,F&B,Tier 2,AM-04,2024-03-01
SMS-1032,Client_Consumer Goods_32,Technology,Tier 2,AM-03,2024-04-01
SMS-1033,Client_F&B_33,Healthcare,Tier 2,AM-10,2024-05-01
SMS-1034,Client_F&B_34,Healthcare,Tier 2,AM-05,2024-06-01
SMS-1035,Client_Consumer Goods_35,Consumer Goods,Tier 2,AM-02,2024-02-01
SMS-1036,Client_Retail_36,Healthcare,Tier 3,AM-10,2024-03-01
SMS-1037,Client_Technology_37,F&B,Tier 1,AM-01,2024-03-01
SMS-1038,Client_Retail_38,Consumer Goods,Tier 2,AM-01,2024-04-01
SMS-1039,Client_Consumer Goods_39,Healthcare,Tier 2,AM-09,2024-03-01
SMS-1040,Client_F&B_40,Technology,Tier 3,AM-08,2024-02-01
SMS-1041,Client_Technology_41,Healthcare,Tier 2,AM-06,2024-05-01
SMS-1042,Client_Consumer Goods_42,Technology,Tier 2,AM-07,2024-01-01
SMS-1043,Client_Consumer Goods_43,Technology,Tier 3,AM-10,2024-03-01
SMS-1044,Client_Retail_44,Retail,Tier 2,AM-07,2024-04-01
SMS-1045,Client_Retail_45,Technology,Tier 2,AM-03,2024-02-01
SMS-1046,Client_Technology_46,Technology,Tier 2,AM-02,2024-04-01
SMS-1047,Client_Consumer Goods_47,Consumer Goods,Tier 2,AM-04,2024-02-01
SMS-1048,Client_Healthcare_48,Healthcare,Tier 2,AM-07,2024-06-01
SMS-1049,Client_Technology_49,Retail,Tier 2,AM-07,2024-01-01
SMS-1050,Client_Healthcare_50,Technology,Tier 2,AM-03,2024-04-01
SMS-1051,Client_F&B_51,Retail,Tier 1,AM-06,2024-01-01
SMS-1052,Client_Healthcare_52,Healthcare,Tier 2,AM-01,2024-05-01
SMS-1053,Client_F&B_53,Retail,Tier 2,AM-03,2024-01-01
SMS-1054,Client_Retail_54,F&B,Tier 3,AM-02,2024-05-01
SMS-1055,Client_Technology_55,Technology,Tier 2,AM-01,2024-04-01
SMS-1056,Client_Healthcare_56,F&B,Tier 1,AM-06,2024-01-01
SMS-1057,Client_Healthcare_57,Retail,Tier 3,AM-04,2024-06-01
SMS-1058,Client_Consumer Goods_58,Consumer Goods,Tier 2,AM-08,2024-04-01
SMS-1059,Client_Healthcare_59,Retail,Tier 1,AM-08,2024-04-01
SMS-1060,Client_Technology_60,F&B,Tier 3,AM-10,2024-03-01
SMS-1061,Client_Consumer Goods_61,F&B,Tier 3,AM-06,2024-03-01
SMS-1062,Client_Technology_62,Consumer Goods,Tier 2,AM-02,2024-04-01
SMS-1063,Client_Retail_63,Consumer Goods,Tier 3,AM-08,2024-04-01
SMS-1064,Client_F&B_64,Consumer Goods,Tier 2,AM-09,2024-04-01
SMS-1065,Client_F&B_65,Technology,Tier 2,AM-07,2024-03-01
SMS-1066,Client_Retail_66,Healthcare,Tier 2,AM-04,2024-06-01
