period,client_id,service_line,man_hours_billed,external_production_cost,internal_cost_per_hour
2024-01-01,SMS-1016,Media Performance,22,0,350000
2024-01-01,SMS-1017,Creative Production,58,25667084,350000
2024-01-01,SMS-1017,Digital Strategy,39,0,350000
2024-01-01,SMS-1023,Media Performance,19,0,350000
2024-01-01,SMS-1029,Digital Strategy,64,0,350000
2024-01-01,SMS-1042,Creative Production,71,21022381,350000
2024-01-01,SMS-1049,Media Performance,69,0,350000
2024-01-01,SMS-1051,Creative Production,169,132516653,350000
2024-01-01,SMS-1051,Media Performance,112,0,350000
2024-01-01,SMS-1053,Creative Production,99,37068374,350000
2024-01-01,SMS-1056,Creative Production,180,41551167,350000
2024-01-01,SMS-1090,Media Performance,121,0,350000
2024-01-01,SMS-1100,Digital Strategy,39,0,350000
2024-01-01,SMS-1107,Media Performance,38,0,350000
2024-01-01,SMS-1107,Digital Strategy,56,0,350000
2024-01-01,SMS-1109,Media Performance,105,0,350000
2024-01-01,SMS-1117,Digital Strategy,63,0,350000
2024-02-01,SMS-1000,Creative Production,16,16910525,350000
2024-02-01,SMS-1002,Media Performance,24,0,350000
2024-02-01,SMS-1004,Digital Strategy,21,0,350000
2024-02-01,SMS-1004,Media Performance,20,0,350000
2024-02-01,SMS-1005,Digital Strategy,41,0,350000
2024-02-01,SMS-1012,Digital Strategy,36,0,350000
2024-02-01,SMS-1016,Media Performance,27,0,350000
2024-02-01,SMS-1017,Media Performance,74,0,350000
2024-02-01,SMS-1018,Creative Production,103,31457843,350000
2024-02-01,SMS-1018,Media Performance,40,0,350000
2024-02-01,SMS-1019,Media Performance,70,0,350000
2024-02-01,SMS-1019,Creative Production,77,25752345,350000
2024-02-01,SMS-1020,Creative Production,23,10251011,350000
2024-02-01,SMS-1020,Media Performance,27,0,350000
2024-02-01,SMS-1022,Digital Strategy,22,0,350000
2024-02-01,SMS-1023,Creative Production,23,6222095,350000
2024-02-01,SMS-1026,Creative Production,54,48175857,350000
2024-02-01,SMS-1026,Digital Strategy,53,0,350000
2024-02-01,SMS-1027,Digital Strategy,50,0,350000
2024-02-01,SMS-1029,Creative Production,51,22097316,350000
2024-02-01,SMS-1030,Creative Production,81,30559012,350000
2024-02-01,SMS-1030,Media Performance,44,0,350000
2024-02-01,SMS-1035,Digital Strategy,73,0,350000
2024-02-01,SMS-1040,Media Performance,28,0,350000
2024-02-01,SMS-1042,Creative Production,84,32178204,350000
2024-02-01,SMS-1045,Creative Production,72,32333751,350000
2024-02-01,SMS-1045,Media Performance,62,0,350000
2024-02-01,SMS-1047,Creative Production,57,33124548,350000
2024-02-01,SMS-1049,Creative Production,99,20642656,350000
2024-02-01,SMS-1051,Creative Production,208,99397756,350000
2024-02-01,SMS-1053,Creative Production,95,36522798,350000
2024-02-01,SMS-1053,Digital Strategy,61,0,350000
2024-02-01,SMS-1056,Digital Strategy,110,0,350000
2024-02-01,SMS-1067,Media Performance,61,0,350000
2024-02-01,SMS-1067,Creative Production,92,29186644,350000
2024-02-01,SMS-1072,Media Performance,12,0,350000
2024-02-01,SMS-1076,Media Performance,21,0,350000
2024-02-01,SMS-1079,Creative Production,81,32082970,350000
2024-02-01,SMS-1085,Digital Strategy,25,0,350000
2024-02-01,SMS-1090,Media Performance,117,0,350000
2024-02-01,SMS-1090,Digital Strategy,166,0,350000
2024-02-01,SMS-1092,Creative Production,67,20776886,350000
2024-02-01,SMS-1095,Creative Production,85,21250022,350000
2024-02-01,SMS-1100,Digital Strategy,48,0,350000
2024-02-01,SMS-1102,Creative Production,18,10191639,350000
2024-02-01,SMS-1102,Media Performance,14,0,350000
2024-02-01,SMS-1103,Digital Strategy,41,0,350000
2024-02-01,SMS-1105,Digital Strategy,64,0,350000
2024-02-01,SMS-1105,Creative Production,74,35839151,350000
2024-02-01,SMS-1107,Creative Production,89,24624301,350000
2024-02-01,SMS-1109,Digital Strategy,106,0,350000
2024-02-01,SMS-1110,Digital Strategy,25,0,350000
2024-02-01,SMS-1115,Creative Production,33,12748060,350000
2024-02-01,SMS-1117,Creative Production,64,19100848,350000
2024-02-01,SMS-1122,Creative Production,22,9061179,350000
2024-02-01,SMS-1122,Media Performance,20,0,350000
2024-02-01,SMS-1123,Media Performance,59,0,350000
2024-02-01,SMS-1126,Media Performance,132,0,350000
2024-02-01,SMS-1126,Creative Production,211,123420522,350000
2024-02-01,SMS-1132,Media Performance,27,0,350000
2024-02-01,SMS-1135,Digital Strategy,58,0,350000
2024-02-01,SMS-1135,Media Performance,55,0,350000
2024-02-01,SMS-1140,Creative Production,147,69340848,350000
2024-02-01,SMS-1140,Media Performance,135,0,350000
2024-02-01,SMS-1142,Media Performance,12,0,350000
2024-02-01,SMS-1143,Creative Production,36,11062410,350000
2024-02-01,SMS-1143,Digital Strategy,28,0,350000
2024-02-01,SMS-1149,Digital Strategy,37,0,350000
2024-03-01,SMS-1000,Digital Strategy,17,0,350000
2024-03-01,SMS-1002,Creative Production,40,9549799,350000
2024-03-01,SMS-1004,Digital Strategy,25,0,350000
2024-03-01,SMS-1005,Creative Production,88,36378946,350000
2024-03-01,SMS-1012,Creative Production,95,25033809,350000
2024-03-01,SMS-1013,Media Performance,20,0,350000
2024-03-01,SMS-1013,Digital Strategy,27,0,350000
