period,client_id,service_line,monthly_revenue
2024-01-01,SMS-1016,Media Performance,29000000
2024-01-01,SMS-1017,Creative Production,73000000
2024-01-01,SMS-1017,Digital Strategy,49000000
2024-01-01,SMS-1023,Media Performance,31000000
2024-01-01,SMS-1029,Digital Strategy,50000000
2024-01-01,SMS-1042,Creative Production,53000000
2024-01-01,SMS-1049,Media Performance,50000000
2024-01-01,SMS-1051,Creative Production,211000000
2024-01-01,SMS-1051,Media Performance,157000000
2024-01-01,SMS-1053,Creative Production,69000000
2024-01-01,SMS-1056,Creative Production,92000000
2024-01-01,SMS-1090,Media Performance,155000000
2024-01-01,SMS-1100,Digital Strategy,52000000
2024-01-01,SMS-1107,Media Performance,52000000
2024-01-01,SMS-1107,Digital Strategy,84000000
2024-01-01,SMS-1109,Media Performance,119000000
2024-01-01,SMS-1117,Digital Strategy,53000000
2024-02-01,SMS-1000,Creative Production,27000000
2024-02-01,SMS-1002,Media Performance,17000000
2024-02-01,SMS-1004,Digital Strategy,20000000
2024-02-01,SMS-1004,Media Performance,17000000
2024-02-01,SMS-1005,Digital Strategy,51000000
2024-02-01,SMS-1012,Digital Strategy,87000000
2024-02-01,SMS-1016,Media Performance,29000000
2024-02-01,SMS-1017,Media Performance,47000000
2024-02-01,SMS-1018,Creative Production,85000000
2024-02-01,SMS-1018,Media Performance,64000000
2024-02-01,SMS-1019,Media Performance,63000000
2024-02-01,SMS-1019,Creative Production,45000000
2024-02-01,SMS-1020,Creative Production,20000000
2024-02-01,SMS-1020,Media Performance,25000000
2024-02-01,SMS-1022,Digital Strategy,23000000
2024-02-01,SMS-1023,Creative Production,14000000
2024-02-01,SMS-1026,Creative Production,82000000
2024-02-01,SMS-1026,Digital Strategy,35000000
2024-02-01,SMS-1027,Digital Strategy,59000000
2024-02-01,SMS-1029,Creative Production,35000000
2024-02-01,SMS-1030,Creative Production,49000000
2024-02-01,SMS-1030,Media Performance,54000000
2024-02-01,SMS-1035,Digital Strategy,58000000
2024-02-01,SMS-1040,Media Performance,15000000
2024-02-01,SMS-1042,Creative Production,88000000
2024-02-01,SMS-1045,Creative Production,88000000
2024-02-01,SMS-1045,Media Performance,41000000
2024-02-01,SMS-1047,Creative Production,59000000
2024-02-01,SMS-1049,Creative Production,55000000
2024-02-01,SMS-1051,Creative Production,176000000
2024-02-01,SMS-1053,Creative Production,77000000
2024-02-01,SMS-1053,Digital Strategy,69000000
2024-02-01,SMS-1056,Digital Strategy,174000000
2024-02-01,SMS-1067,Media Performance,68000000
2024-02-01,SMS-1067,Creative Production,49000000
2024-02-01,SMS-1072,Media Performance,26000000
2024-02-01,SMS-1076,Media Performance,13000000
2024-02-01,SMS-1079,Creative Production,79000000
2024-02-01,SMS-1085,Digital Strategy,33000000
2024-02-01,SMS-1090,Media Performance,199000000
2024-02-01,SMS-1090,Digital Strategy,159000000
2024-02-01,SMS-1092,Creative Production,44000000
2024-02-01,SMS-1095,Creative Production,60000000
2024-02-01,SMS-1100,Digital Strategy,40000000
2024-02-01,SMS-1102,Creative Production,20000000
2024-02-01,SMS-1102,Media Performance,23000000
2024-02-01,SMS-1103,Digital Strategy,47000000
2024-02-01,SMS-1105,Digital Strategy,48000000
2024-02-01,SMS-1105,Creative Production,57000000
2024-02-01,SMS-1107,Creative Production,66000000
2024-02-01,SMS-1109,Digital Strategy,166000000
2024-02-01,SMS-1110,Digital Strategy,18000000
